School,Year,Games,Wins,Loses,W_L_Perc,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Team_Points,Opp_Points,Min_Played,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Pec,eFG_Pec,TOV_Pec,ORB_Pec,FT/FGA
AbileneChristian,2024,32,15,17,0.469,-3.81,-1.17,10,10,8,6,5,9,2320,2351,1295,811,1877,0.432,165,484,0.341,533,729,0.731,314,1070,405,253,65,404,634,71.3,100.5,0.388,0.258,0.522,47.7,49.9,11,5.3,0.476,15.4,26.8,0.284
AirForce,2024,31,9,22,0.29,-4.33,1.87,2,16,4,12,5,8,2051,2243,1250,727,1604,0.453,273,757,0.361,324,475,0.682,225,872,451,202,122,372,541,63.4,103.6,0.296,0.472,0.56,46.2,62,10.2,11.8,0.538,16.9,23.8,0.202
Akron,2024,34,24,10,0.706,3.02,-2.52,13,5,13,1,7,6,2517,2239,1365,890,1952,0.456,274,835,0.328,463,636,0.728,354,1252,447,192,99,389,563,67,110.1,0.326,0.428,0.558,53.3,50.2,8.4,8.1,0.526,14.7,30.9,0.237
Alabama,2024,32,21,11,0.656,21.12,11.43,13,5,14,2,5,5,2904,2594,1290,989,2073,0.477,354,969,0.365,572,730,0.784,407,1267,515,232,133,383,636,74.2,121.3,0.352,0.467,0.6,53,52.1,9.7,10.5,0.562,13.7,35,0.276
AlabamaA&M,2024,33,11,22,0.333,-14.67,-7.58,9,9,7,5,3,14,2267,2501,1325,753,1806,0.417,139,488,0.285,622,865,0.719,373,1170,344,251,127,534,695,71.8,95.4,0.479,0.27,0.511,49.6,45.7,10.6,10.7,0.455,19.4,31.7,0.344
AlabamaState,2024,32,13,19,0.406,-11.74,-6.87,8,10,7,5,3,13,2195,2221,1303,772,2087,0.37,223,793,0.281,428,592,0.723,453,1265,345,277,123,361,609,69.7,97,0.284,0.38,0.463,50.1,44.7,12.2,12,0.423,13.2,32.4,0.205
Albany(NY),2024,32,13,19,0.406,-6.46,-5.08,5,11,8,5,5,13,2517,2521,1285,918,2059,0.446,250,757,0.33,431,594,0.726,364,1153,411,266,101,425,621,74.6,105.1,0.288,0.368,0.538,50,44.8,11.1,7.4,0.507,15.4,30.5,0.209
AlcornState,2024,32,14,18,0.438,-11.59,-5.62,13,5,7,3,7,14,2300,2477,1285,818,1851,0.442,166,492,0.337,498,699,0.712,360,1086,371,220,56,370,567,68.3,104.8,0.378,0.266,0.527,51.4,45.4,10,5.7,0.487,14.5,33.6,0.269
American,2024,32,16,16,0.5,-8.75,-8.59,10,8,8,7,8,9,2200,2176,1291,782,1740,0.449,279,794,0.351,355,492,0.722,287,1043,449,186,54,347,527,63.1,108.1,0.283,0.456,0.557,51.6,57.4,9.1,5.5,0.53,15,28.4,0.204
AppalachianState,2024,33,27,6,0.818,6.42,-2.58,16,2,15,0,8,4,2589,2196,1350,966,2033,0.475,217,647,0.335,440,649,0.678,366,1385,484,205,226,355,429,69.2,110.9,0.319,0.318,0.553,53.6,50.1,8.8,15.6,0.529,13.2,31,0.216
Arizona,2024,33,25,8,0.758,25.35,9.65,15,5,15,1,7,4,2902,2384,1345,1041,2129,0.489,258,695,0.371,562,782,0.719,437,1407,615,273,115,397,539,73.3,117.8,0.367,0.326,0.58,57.1,59.1,11.1,9,0.55,13.7,36.3,0.264
ArizonaState,2024,32,14,18,0.438,4.88,9.85,8,12,10,5,3,8,2209,2368,1285,791,1901,0.416,215,716,0.3,412,629,0.655,269,1064,385,263,117,335,532,70.6,97.5,0.331,0.377,0.502,45,48.7,11.6,10.2,0.473,13.2,21.9,0.217
Arkansas,2024,33,16,17,0.485,6.38,8.41,6,12,12,6,2,7,2566,2633,1340,859,1898,0.453,199,625,0.318,649,859,0.756,281,1139,387,198,201,395,655,72.2,106.1,0.453,0.329,0.556,48.7,45.1,8.2,15,0.505,14.6,25.2,0.342
ArkansasState,2024,34,18,16,0.529,0.52,-1.07,11,7,10,3,5,11,2677,2623,1365,934,2117,0.441,321,921,0.349,488,693,0.704,440,1298,492,190,150,386,600,70,112,0.327,0.435,0.547,51.9,52.7,8,10.1,0.517,13.6,33.9,0.231
Arkansas-PineBluff,2024,31,13,18,0.419,-15.62,-7.66,8,10,8,6,5,12,2483,2536,1240,813,1821,0.446,337,898,0.375,520,682,0.762,261,1073,467,183,67,413,568,74.3,107.8,0.375,0.493,0.579,47.5,57.4,7.9,5.4,0.539,16.1,24.3,0.286
Army,2024,32,10,22,0.313,-14.44,-8.71,6,12,6,11,4,11,1930,2059,1295,707,1747,0.405,252,788,0.32,264,449,0.588,308,1088,401,184,126,389,506,63.1,94.5,0.257,0.451,0.492,50,56.7,9,12.2,0.477,16.6,27.3,0.151
Auburn,2024,33,26,7,0.788,23,7.82,13,5,15,1,5,5,2747,2246,1320,952,2007,0.474,267,756,0.353,576,768,0.75,378,1249,593,243,202,348,633,70.8,117.6,0.383,0.377,0.579,52.3,62.3,10.4,16,0.541,12.8,33.3,0.287
AustinPeay,2024,34,19,15,0.559,-5.24,-4.24,10,6,14,2,4,12,2548,2480,1385,917,2038,0.45,271,739,0.367,443,630,0.703,367,1159,378,240,94,297,598,65.6,112.2,0.309,0.363,0.545,49.3,41.2,10.6,7.8,0.516,11.3,30.3,0.217
BallState,2024,31,15,16,0.484,-6.47,-5.71,7,11,9,7,6,8,2280,2200,1255,769,1726,0.446,232,641,0.362,510,665,0.767,294,1082,385,170,96,374,469,67.8,107.2,0.385,0.371,0.558,50.9,50.1,8,8.1,0.513,15.5,28.3,0.295
Baylor,2024,33,23,10,0.697,20.22,11.41,11,7,15,2,4,5,2658,2350,1350,913,1890,0.483,279,719,0.388,553,751,0.736,377,1163,490,222,106,399,546,66.9,117.6,0.397,0.38,0.592,54.6,53.7,9.8,8.8,0.557,15.1,36,0.293
Bellarmine,2024,31,8,23,0.258,-11.42,-2.1,4,12,6,7,2,16,2153,2320,1250,797,1837,0.434,238,698,0.341,321,412,0.779,245,1002,420,164,60,297,486,66.8,103.1,0.224,0.38,0.53,46.9,52.7,7.9,5.9,0.499,12.7,22.6,0.175
Belmont,2024,33,20,13,0.606,2.92,1.58,12,8,12,2,6,9,2570,2493,1325,922,1939,0.476,301,811,0.371,425,588,0.723,237,1130,504,248,101,402,511,72,107.7,0.303,0.418,0.579,48.6,54.7,10.4,8.1,0.553,15.3,21.7,0.219
Bethune-Cookman,2024,33,17,16,0.515,-12.16,-9.1,11,7,11,2,5,11,2394,2381,1335,825,1922,0.429,194,608,0.319,550,728,0.755,347,1111,402,342,112,465,675,71.7,100.1,0.379,0.316,0.528,48.7,48.7,14.3,9.7,0.48,17,30,0.286
Binghamton,2024,30,15,15,0.5,-9.12,-5.05,7,9,10,4,5,11,2163,2167,1210,801,1738,0.461,164,536,0.306,397,595,0.667,313,1156,435,150,113,366,498,68.6,104.3,0.342,0.308,0.535,53.6,54.3,7.2,10.3,0.508,15.3,30.2,0.228
BoiseState,2024,32,22,10,0.688,13.84,7.44,13,5,13,3,7,3,2426,2161,1290,835,1846,0.452,256,741,0.345,500,680,0.735,365,1190,400,184,77,357,533,67.1,112.1,0.368,0.401,0.559,55.5,47.9,8.5,6.9,0.522,14.1,33.7,0.271
BostonCollege,2024,34,19,15,0.559,9.45,6.98,8,12,10,6,6,6,2535,2451,1370,931,2035,0.457,283,784,0.361,390,520,0.75,318,1198,483,204,120,361,538,68,108.9,0.256,0.385,0.555,50.5,51.9,8.8,9.6,0.527,13.7,27.2,0.192
BostonUniversity,2024,33,16,17,0.485,-9.72,-8.29,10,8,9,7,7,10,2193,2198,1335,768,1856,0.414,254,763,0.333,403,562,0.717,309,1167,427,216,102,384,571,65.9,99.7,0.303,0.411,0.516,51.5,55.6,9.8,9.6,0.482,15.3,26.8,0.217
BowlingGreenState,2024,33,20,13,0.606,-4.8,-5.47,10,8,12,4,5,7,2427,2337,1345,854,1987,0.43,211,710,0.297,508,712,0.713,379,1259,369,215,91,378,523,68.9,104.7,0.358,0.357,0.522,52.3,43.2,9.3,7.1,0.483,14,30.7,0.256
Bradley,2024,33,22,11,0.667,9.66,2.57,13,7,13,3,6,6,2461,2212,1335,895,1887,0.474,297,797,0.373,374,518,0.722,309,1148,441,239,135,400,553,66.9,110.2,0.275,0.422,0.577,51.6,49.3,10.7,11.9,0.553,15.8,28.9,0.198
BrighamYoung,2024,33,23,10,0.697,20.36,8.42,10,8,16,2,3,7,2701,2307,1320,970,2098,0.462,370,1063,0.348,391,530,0.738,394,1308,613,196,99,352,584,70,116.9,0.253,0.507,0.575,54.2,63.2,8.5,7.7,0.551,13,32.8,0.186
Brown,2024,30,13,17,0.433,-3.61,-1.71,8,6,5,7,6,8,2151,2165,1221,759,1763,0.431,247,720,0.343,386,588,0.656,360,1120,404,193,128,376,508,67.9,103.8,0.334,0.408,0.527,52,53.2,9.3,12,0.501,15.5,32.3,0.219
Bryant,2024,33,20,13,0.606,-2.86,-3.35,11,5,11,3,8,10,2598,2488,1330,954,2087,0.457,273,806,0.339,417,623,0.669,259,1246,487,230,213,393,557,76,102.9,0.299,0.386,0.545,47.1,51,9.1,14.9,0.523,14.2,21,0.2
Bucknell,2024,33,14,19,0.424,-8.1,-6.16,10,8,6,8,8,11,2153,2217,1335,758,1770,0.428,269,795,0.338,368,514,0.716,276,1073,399,202,113,405,559,64.1,100.6,0.29,0.449,0.534,49.1,52.6,9.4,10.7,0.504,16.7,25.8,0.208
Buffalo,2024,31,4,27,0.129,-14.88,-2.58,2,16,2,13,2,12,2108,2471,1245,770,1830,0.421,207,746,0.277,361,504,0.716,323,1082,415,188,141,450,484,70.5,96.1,0.275,0.408,0.509,48.7,53.9,8.6,11.4,0.477,17.9,28.5,0.197
Butler,2024,32,18,14,0.563,12.23,9.42,9,11,12,5,4,7,2472,2359,1310,894,1977,0.452,268,758,0.354,416,525,0.792,298,1128,480,199,106,347,443,69.4,108.7,0.266,0.383,0.555,49.4,53.7,8.7,8.3,0.52,13.5,26.8,0.21
CalPoly,2024,32,4,28,0.125,-13.26,-1.9,0,20,3,11,0,16,2037,2371,1295,719,1778,0.404,198,598,0.331,401,569,0.705,283,1000,314,173,117,405,614,66.7,94.3,0.32,0.336,0.497,44.8,43.7,8,9.5,0.46,16.5,24.5,0.226
CalStateBakersfield,2024,32,13,19,0.406,-5.06,-1.86,8,12,10,4,2,13,2199,2214,1295,807,1861,0.434,150,476,0.315,435,602,0.723,382,1109,335,220,114,389,652,66.3,102.4,0.323,0.256,0.512,50.9,41.5,10.2,10.7,0.474,15.3,33.9,0.234
CalStateFullerton,2024,32,14,18,0.438,-4.74,-0.74,7,13,7,7,6,10,2172,2212,1285,740,1717,0.431,207,627,0.33,485,685,0.708,269,1048,284,214,98,393,571,67.5,100.2,0.399,0.365,0.532,48,38.4,9.9,8.9,0.491,16.1,24.8,0.282
CalStateNorthridge,2024,34,19,15,0.559,-4.44,-3.79,9,11,9,7,9,7,2551,2503,1365,940,2065,0.455,165,537,0.307,506,757,0.668,402,1362,472,253,114,481,707,73.5,101.7,0.367,0.26,0.526,53.4,50.2,10.1,10.1,0.495,16.6,32.3,0.245
California,2024,32,13,19,0.406,5.24,8.3,9,11,10,6,3,8,2367,2465,1310,833,1980,0.421,281,831,0.338,420,578,0.727,343,1189,387,193,83,370,552,69.7,103.7,0.292,0.42,0.525,50.5,46.5,8.5,6.7,0.492,14.1,28.6,0.212
CaliforniaBaptist,2024,33,16,17,0.485,-2.37,-2.31,8,12,11,7,4,9,2222,2197,1330,762,1857,0.41,220,674,0.326,478,700,0.683,397,1241,372,133,87,392,524,65.7,101.7,0.377,0.363,0.507,53.6,48.8,6.1,6.5,0.47,15.2,32.9,0.257
Campbell,2024,32,14,18,0.438,-10.44,-5.47,8,10,11,6,3,11,2272,2307,1295,806,1740,0.463,232,673,0.345,428,590,0.725,246,1040,425,202,77,383,485,67,104.8,0.339,0.387,0.562,48.3,52.7,9.3,7,0.53,15.9,24.4,0.246
Canisius,2024,32,14,18,0.438,-7.7,-4.63,8,12,8,4,3,12,2252,2307,1290,841,1910,0.44,232,690,0.336,338,541,0.625,384,1181,401,192,111,432,520,68.5,101.9,0.283,0.361,0.52,52.2,47.7,8.7,8.5,0.501,16.6,33.5,0.177
CentralArkansas,2024,32,9,23,0.281,-15.33,-5.26,5,11,5,10,4,13,2309,2502,1285,817,1965,0.416,256,747,0.343,419,566,0.74,359,1165,437,225,105,407,548,70.7,101.7,0.288,0.38,0.517,49.4,53.5,9.9,9.4,0.481,15.4,29.7,0.213
CentralConnecticutState,2024,31,20,11,0.645,-8.04,-10.04,13,3,11,4,9,7,2237,2061,1250,810,1798,0.451,208,645,0.322,409,577,0.709,298,1111,444,232,150,349,423,68,105.2,0.321,0.359,0.54,51.4,54.8,10.9,12.8,0.508,14.4,28.5,0.227
CentralMichigan,2024,32,18,14,0.563,-7.83,-3.35,12,6,10,3,7,9,2127,2242,1315,790,1880,0.42,200,660,0.303,347,526,0.66,339,1162,364,192,119,384,527,66.3,97.6,0.28,0.351,0.499,49.1,46.1,8.8,10.5,0.473,15.3,28.8,0.185
CharlestonSouthern,2024,30,10,20,0.333,-11.87,-1.42,6,10,7,7,3,12,2028,2210,1200,715,1727,0.414,208,629,0.331,390,530,0.736,301,1066,306,115,90,366,512,68.3,99,0.307,0.364,0.512,49.6,42.8,5.6,7.3,0.474,15.6,27.9,0.226
Charlotte,2024,31,19,12,0.613,4.39,2.73,13,5,13,2,5,7,2131,2034,1250,748,1655,0.452,201,635,0.317,434,576,0.753,260,1006,407,168,105,301,479,63.1,108.1,0.348,0.384,0.552,49.7,54.4,8.5,9.7,0.513,13.5,26.7,0.262
Chattanooga,2024,33,21,12,0.636,-0.04,-3.69,12,6,12,4,8,7,2581,2362,1335,892,1915,0.466,349,971,0.359,448,601,0.745,305,1206,447,208,121,393,524,68.5,112.9,0.314,0.507,0.586,51.6,50.1,9.1,10.3,0.557,15.2,28.2,0.234
ChicagoState,2024,30,12,18,0.4,-9.72,-2.98,,,6,5,5,12,2073,2106,1205,716,1697,0.422,188,595,0.316,453,640,0.708,366,1010,334,261,98,405,525,67.8,101.4,0.377,0.351,0.518,49,46.6,12.8,8.9,0.477,16.8,34.2,0.267
Cincinnati,2024,34,20,14,0.588,15.57,8.84,7,11,14,5,4,7,2537,2308,1375,939,2125,0.442,249,769,0.324,410,592,0.693,464,1344,501,226,150,409,519,68.4,108,0.279,0.362,0.527,55.3,53.4,9.6,11.6,0.5,14.5,37.2,0.193
Clemson,2024,32,21,11,0.656,14.91,8.82,11,9,12,4,6,6,2477,2282,1290,878,1877,0.468,267,755,0.354,454,575,0.79,295,1166,469,144,126,325,505,67.5,113.7,0.306,0.402,0.576,52.3,53.4,6.6,11.2,0.539,13.1,27.7,0.242
ClevelandState,2024,34,20,14,0.588,-2.91,-4.46,11,9,14,3,6,10,2592,2480,1370,956,2119,0.451,222,660,0.336,458,680,0.674,437,1195,454,280,134,352,632,68.5,110.5,0.321,0.311,0.531,49.2,47.5,11.9,11.3,0.504,12.6,34.5,0.216
CoastalCarolina,2024,31,9,22,0.29,-10.19,-2.6,5,13,7,12,1,9,2280,2434,1250,835,1880,0.444,201,626,0.321,409,616,0.664,353,1250,395,178,97,420,496,71.5,102,0.328,0.333,0.525,51.6,47.3,8,8.8,0.498,16.2,30.9,0.218
Colgate,2024,34,25,9,0.735,0.07,-6.08,16,2,13,3,10,5,2431,2150,1360,903,1922,0.47,267,739,0.361,358,526,0.681,277,1221,515,217,119,360,456,66.5,107.5,0.274,0.384,0.56,52.1,57,9.6,10.1,0.539,14.2,25.2,0.186
CollegeofCharleston,2024,34,27,7,0.794,4.19,-2.87,15,3,13,2,10,2,2736,2466,1365,974,2200,0.443,358,1039,0.345,430,597,0.72,440,1350,520,211,105,338,536,70,114.6,0.271,0.472,0.551,53,53.4,8.8,8.1,0.524,12,33.5,0.195
Colorado,2024,34,24,10,0.706,16.02,7.9,13,7,16,1,4,7,2696,2420,1375,963,1953,0.493,234,594,0.394,536,689,0.778,345,1277,540,202,73,431,505,69.1,113.6,0.353,0.304,0.591,55.5,56.1,8.5,5.5,0.553,15.9,32.2,0.274
ColoradoState,2024,34,24,10,0.706,13.47,7.38,10,8,15,2,4,7,2596,2324,1370,937,1919,0.488,253,743,0.341,469,622,0.754,264,1118,627,222,109,344,580,66.9,113.3,0.324,0.387,0.586,50,66.9,9.7,8.6,0.554,13.4,24.8,0.244
Columbia,2024,27,13,14,0.481,-5.22,-3.51,4,10,9,6,4,8,2078,1956,1080,749,1597,0.469,231,616,0.375,349,477,0.732,265,964,471,209,62,330,437,70,110,0.299,0.386,0.57,51.7,62.9,11.1,6.7,0.541,15.3,29.5,0.219
Connecticut,2024,34,31,3,0.912,24.72,7.66,18,2,16,0,9,3,2770,2190,1360,989,1994,0.496,299,815,0.367,493,664,0.742,395,1308,630,212,183,335,552,66.2,123,0.333,0.409,0.6,56.1,63.7,9.4,14.2,0.571,12.7,36.5,0.247
CoppinState,2024,29,2,27,0.069,-21.37,-6.4,1,13,2,8,0,17,1678,2112,1170,585,1571,0.372,153,540,0.283,355,489,0.726,283,873,240,222,81,455,513,67.4,85.1,0.311,0.344,0.465,43.5,41,11.3,8,0.421,20.1,27,0.226
Cornell,2024,29,22,7,0.759,3.64,-1.91,11,3,10,1,10,5,2380,2153,1160,862,1769,0.487,298,859,0.347,358,496,0.722,281,1031,518,244,76,357,529,71.9,114.2,0.28,0.486,0.594,50.3,60.1,11.7,7.5,0.572,15.1,28.9,0.202
Creighton,2024,32,23,9,0.719,20.03,9.22,14,6,14,2,8,5,2577,2231,1305,935,1922,0.486,339,939,0.361,368,471,0.781,266,1214,548,127,132,338,362,67.9,116.3,0.245,0.489,0.6,53.1,58.6,5.7,8.6,0.575,13.6,25.9,0.191
Dartmouth,2024,27,6,21,0.222,-13.82,-1.14,2,12,6,7,0,14,1670,1940,1080,594,1447,0.411,191,626,0.305,291,422,0.69,200,898,332,120,95,344,374,66.3,93.3,0.292,0.433,0.507,48.9,55.9,6.7,10.4,0.477,17.3,21.8,0.201
Davidson,2024,32,15,17,0.469,3.85,3.51,5,13,9,7,4,8,2242,2174,1300,783,1816,0.431,235,749,0.314,441,602,0.733,295,1109,403,207,112,338,511,65.9,104.7,0.331,0.412,0.533,49.6,51.5,9.7,10.7,0.496,13.9,26.5,0.243
Dayton,2024,31,24,7,0.774,13.55,5.1,14,4,15,0,6,5,2317,2055,1245,786,1647,0.477,295,734,0.402,450,613,0.734,254,1046,458,167,124,317,416,64.6,115.3,0.372,0.446,0.598,50.7,58.3,8.3,11.3,0.567,14.1,26.8,0.273
Delaware,2024,33,19,14,0.576,-1.48,-4.11,10,8,8,5,8,6,2416,2299,1325,891,1917,0.465,227,678,0.335,407,576,0.707,304,1178,454,178,100,356,496,67.7,107.8,0.3,0.354,0.551,50.9,51,7.9,7.9,0.524,14,27.6,0.212
DelawareState,2024,33,15,18,0.455,-10.45,-7.83,6,8,7,5,4,11,2335,2336,1345,825,1906,0.433,156,485,0.322,529,751,0.704,380,1140,399,277,64,486,557,70.1,99,0.394,0.254,0.516,51.8,48.4,11.7,5.8,0.474,17.7,34.1,0.278
Denver,2024,34,17,17,0.5,-7.02,-4.45,6,10,10,4,4,11,2755,2737,1385,946,2103,0.45,294,845,0.348,569,779,0.73,348,1213,444,211,132,340,573,71.1,111.9,0.37,0.402,0.557,49.2,46.9,8.6,9.5,0.52,12.1,27.8,0.271
DePaul,2024,32,3,29,0.094,-6.34,10.7,0,20,3,15,0,11,2071,2616,1280,725,1714,0.423,200,597,0.335,421,574,0.733,233,951,392,168,99,435,482,68.4,94.7,0.335,0.348,0.521,44.9,54.1,7.7,8.6,0.481,18,22,0.246
DetroitMercy,2024,32,1,31,0.031,-16.7,-2.42,1,19,1,11,0,20,2111,2568,1290,761,1806,0.421,187,666,0.281,402,547,0.735,286,945,346,222,78,427,553,68,96.2,0.303,0.369,0.511,44.6,45.5,10.1,6.6,0.473,17.1,26.1,0.223
Drake,2024,34,28,6,0.824,11.19,1.52,16,4,16,0,6,5,2736,2397,1395,967,2020,0.479,295,804,0.367,507,667,0.76,270,1170,541,219,53,329,549,68.5,114.5,0.33,0.398,0.585,51.4,55.9,9.2,4.5,0.552,12.3,24.2,0.251
Drexel,2024,32,20,12,0.625,1.37,-3.4,13,5,13,1,6,10,2346,2130,1295,861,1886,0.457,216,628,0.344,408,565,0.722,369,1253,406,161,127,346,491,65.7,110.4,0.3,0.333,0.544,55.6,47.2,7.6,10.5,0.514,13.8,33.9,0.216
Duke,2024,32,24,8,0.75,20.24,7.84,15,5,15,3,7,4,2555,2158,1280,913,1896,0.482,267,708,0.377,462,640,0.722,337,1169,493,206,118,311,505,67.7,117.9,0.338,0.373,0.581,53.7,54,9.5,9.9,0.552,12.4,31.9,0.244
Duquesne,2024,34,23,11,0.676,7.32,3.92,10,8,13,4,5,6,2420,2260,1360,853,1936,0.441,259,761,0.34,455,634,0.718,352,1190,457,254,150,400,586,67.2,106,0.327,0.393,0.541,50.5,53.6,11.1,12.8,0.507,15.2,30.2,0.235
EastCarolina,2024,33,15,18,0.455,-0.32,1.61,7,11,11,9,3,7,2287,2319,1330,803,1903,0.422,218,696,0.313,463,669,0.692,393,1154,406,260,92,358,516,65.8,104.5,0.352,0.366,0.515,50.3,50.6,11.9,8.8,0.479,13.9,32.9,0.243
EastTennesseeState,2024,35,19,16,0.543,-2.93,-2.57,8,10,10,4,5,11,2502,2435,1405,866,2131,0.406,272,876,0.311,498,730,0.682,486,1350,399,269,163,433,638,68.8,103.5,0.343,0.411,0.505,51.8,46.1,11.1,13.4,0.47,14.9,35.1,0.234
EasternIllinois,2024,32,14,18,0.438,-11.28,-6.18,8,10,9,6,4,11,2204,2172,1280,822,1951,0.421,179,560,0.32,381,521,0.731,349,1131,413,258,95,331,567,68.2,101,0.267,0.287,0.501,49.9,50.2,11.8,8.8,0.467,13.1,29,0.195
EasternKentucky,2024,31,17,14,0.548,-5.11,-4.18,12,4,13,4,4,10,2504,2371,1245,917,1993,0.46,243,678,0.358,427,628,0.68,410,1244,453,196,190,356,502,71.8,112,0.315,0.34,0.546,52.3,49.4,8.8,14.5,0.521,13.4,34.9,0.214
EasternMichigan,2024,31,13,18,0.419,-12.53,-4.84,6,12,9,6,4,11,2047,2252,1255,783,1825,0.429,178,585,0.304,303,454,0.667,321,1069,321,179,77,361,508,66.4,98.3,0.249,0.321,0.502,48.6,41,8.6,7,0.478,15,28.7,0.166
EasternWashington,2024,32,21,11,0.656,-0.58,-2.55,15,3,11,1,10,9,2586,2407,1285,894,1783,0.501,273,749,0.364,525,681,0.771,258,1083,562,191,115,422,579,70.9,113.6,0.382,0.42,0.614,51.8,62.9,8.4,10.2,0.578,16.7,26.8,0.294
Elon,2024,32,13,19,0.406,-11.23,-5.26,6,12,8,6,3,12,2339,2413,1280,824,1848,0.446,275,781,0.352,416,588,0.707,331,1082,418,201,85,379,503,68,107.5,0.318,0.423,0.55,49,50.7,9.2,7.4,0.52,15.1,30.2,0.225
Evansville,2024,33,16,17,0.485,-3.39,0.93,6,14,10,5,4,11,2360,2428,1330,866,1933,0.448,224,664,0.337,404,559,0.723,259,1121,431,208,103,377,498,69.6,101.9,0.289,0.344,0.537,49,49.8,9,9.4,0.506,14.6,22.9,0.209
Fairfield,2024,34,22,12,0.647,-2.74,-6.62,14,6,10,4,10,6,2577,2402,1360,913,2051,0.445,314,860,0.365,437,575,0.76,349,1153,456,293,77,362,496,68.9,109.9,0.28,0.419,0.554,49.1,49.9,12.5,6.2,0.522,13.5,29.2,0.213
FDU,2024,32,15,17,0.469,-14.32,-9.18,9,7,7,7,8,9,2430,2482,1290,843,2012,0.419,268,812,0.33,476,680,0.7,364,1191,484,263,81,408,571,73.6,102.4,0.338,0.404,0.52,48.3,57.4,11.1,6.8,0.486,14.9,28.5,0.237
Florida,2024,34,24,10,0.706,15.82,8.46,11,7,14,1,3,7,2913,2663,1385,1018,2217,0.459,268,774,0.346,609,856,0.711,504,1455,515,225,178,401,625,72.9,115.5,0.386,0.349,0.555,54.4,50.6,8.9,12.1,0.52,13.3,37.8,0.275
FloridaA&M,2024,29,6,23,0.207,-15.75,-4.12,4,14,4,8,2,14,1949,2240,1180,727,1679,0.433,170,495,0.343,325,464,0.7,278,1002,414,173,82,442,541,69.9,94.5,0.276,0.295,0.513,48.6,56.9,8.4,7.4,0.484,18.9,27.6,0.194
FloridaAtlantic,2024,33,25,8,0.758,13.89,4.62,14,4,13,1,5,5,2724,2418,1345,970,2017,0.481,279,783,0.356,505,703,0.718,387,1256,495,235,100,367,529,69.1,117.2,0.349,0.388,0.579,52.9,51,10.1,7.7,0.55,13.5,33.7,0.25
FloridaGulfCoast,2024,32,14,18,0.438,-5.97,-3.63,8,8,9,5,4,10,2253,2276,1285,827,1817,0.455,250,704,0.355,349,502,0.695,316,1098,375,193,108,363,464,65.6,106.9,0.276,0.387,0.548,51.3,45.3,9.2,10.3,0.524,15,30,0.192
