School,Year,Games,Wins,Loses,W_L_Perc,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Team_Points,Opp_Points,Min_Played,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Pec,eFG_Pec,TOV_Pec,ORB_Pec,FT/FGA
SouthCarolina,2024,33,26,7,0.788,11.55,6.49,13,5,14,3,8,3,2377,2210,1330,840,1914,0.439,263,785,0.335,434,608,0.714,379,1184,507,159,105,333,528,64.7,110.4,0.318,0.41,0.54,52.3,60.4,7.4,8.2,0.508,13.1,33.1,0.227
SouthCarolinaState,2024,32,14,18,0.438,-11.74,-6.07,9,5,9,4,5,13,2245,2390,1290,784,1914,0.41,200,620,0.323,477,692,0.689,477,1203,435,267,111,487,666,70.3,99,0.362,0.324,0.501,52.8,55.5,11.8,10.3,0.462,17.8,38.7,0.249
SouthCarolinaUpstate,2024,30,10,20,0.333,-9.11,-2.77,5,11,6,7,4,12,2130,2188,1215,780,1753,0.445,230,691,0.333,340,530,0.642,262,950,375,217,96,346,589,68.4,102.4,0.302,0.394,0.531,45.5,48.1,10.4,9.1,0.511,14.7,24.6,0.194
SouthDakota,2024,32,12,20,0.375,-12.22,-5.08,5,11,9,6,2,12,2434,2535,1300,875,1916,0.457,251,669,0.375,433,583,0.743,334,1198,391,115,56,411,511,69.8,107.3,0.304,0.349,0.555,52.1,44.7,5.1,4.4,0.522,15.8,30.2,0.226
SouthDakotaState,2024,34,22,12,0.647,0.72,-3.16,12,4,11,3,6,5,2610,2408,1370,954,1976,0.483,290,799,0.363,412,582,0.708,282,1212,435,209,110,380,488,68.7,111,0.295,0.404,0.579,51.4,45.6,8.9,10.3,0.556,14.4,25.1,0.209
SouthFlorida,2024,31,24,7,0.774,7.39,0.62,16,2,15,2,7,4,2351,2141,1240,788,1791,0.44,278,760,0.366,497,676,0.735,309,1117,467,219,110,330,535,69,109.9,0.377,0.424,0.557,49.4,59.3,10.2,9.8,0.518,13.5,28.2,0.277
SoutheastMissouriState,2024,31,9,22,0.29,-18,-6.3,4,14,8,7,1,14,2078,2278,1245,764,1848,0.413,192,631,0.304,358,512,0.699,279,984,383,178,78,371,606,70.4,94.8,0.277,0.341,0.497,46.8,50.1,8.1,6.4,0.465,15.1,24.8,0.194
SoutheasternLouisiana,2024,32,15,17,0.469,-10.87,-5.7,10,8,9,4,6,10,2209,2271,1290,764,1769,0.432,235,677,0.347,446,613,0.728,343,1120,463,222,73,442,523,66.9,102.3,0.347,0.383,0.536,51,60.6,10.3,7.1,0.498,17.7,31.8,0.252
Southern,2024,32,18,14,0.563,-8.66,-6.01,12,6,11,2,7,11,2275,2198,1290,807,1829,0.441,221,684,0.323,440,653,0.674,312,1020,440,291,105,456,631,70.7,99.8,0.357,0.374,0.532,48.9,54.5,12.8,9.8,0.502,17.6,28.8,0.241
SouthernCalifornia,2024,33,15,18,0.455,9.59,9.77,8,12,9,6,3,9,2446,2452,1340,872,1932,0.451,252,709,0.355,450,649,0.693,331,1123,515,247,172,418,560,69.7,104.8,0.336,0.367,0.546,48.6,59.1,10.6,14.2,0.517,15.7,29,0.233
SouthernIllinois,2024,32,19,13,0.594,4.25,0.67,11,9,13,5,5,6,2325,2183,1300,791,1746,0.453,264,761,0.347,479,629,0.762,270,1055,456,175,98,356,579,65.4,109.3,0.36,0.436,0.569,50.8,57.6,8.2,8.1,0.529,14.8,26.3,0.274
SIUEdwardsville,2024,33,17,16,0.515,-8.81,-7.27,9,9,12,2,2,13,2360,2314,1320,832,1965,0.423,239,720,0.332,457,631,0.724,375,1175,374,226,137,352,550,67.7,105.6,0.321,0.366,0.521,50.5,45,10.1,12,0.484,13.5,31.1,0.233
SouthernIndiana,2024,32,8,24,0.25,-13.44,-5.4,5,13,5,10,3,13,2195,2335,1285,737,1811,0.407,215,664,0.324,506,679,0.745,319,1139,362,204,94,423,672,69.7,98.1,0.375,0.367,0.514,49.7,49.1,9.1,8.4,0.466,16.5,27.6,0.279
SouthernMethodist,2024,32,20,12,0.625,10.69,2.5,11,7,14,3,5,7,2443,2170,1285,903,2024,0.446,241,713,0.338,396,579,0.684,468,1283,506,271,157,362,537,68.5,111.1,0.286,0.352,0.531,53.6,56,12.3,13.2,0.506,13.6,38.7,0.196
SouthernMississippi,2024,32,16,16,0.5,-5.64,-2.64,9,9,11,3,5,9,2236,2273,1280,775,1826,0.424,201,614,0.327,485,693,0.7,343,1177,376,229,154,411,550,69.5,100.6,0.38,0.336,0.519,50.1,48.5,10.3,12.6,0.479,16,29.4,0.266
SouthernUtah,2024,31,10,21,0.323,-5.71,-1.16,5,15,6,8,3,13,2326,2406,1245,820,1861,0.441,195,649,0.3,491,674,0.728,322,1049,375,202,92,373,548,71.4,104.6,0.362,0.349,0.533,47.5,45.7,9.1,6.7,0.493,14.6,28.5,0.264
St.Bonaventure,2024,33,20,13,0.606,7.04,2.22,9,9,11,4,5,6,2424,2265,1335,853,1872,0.456,251,687,0.365,467,603,0.774,320,1087,412,218,128,358,553,66,110,0.322,0.367,0.562,50.6,48.3,9.9,12,0.523,14.2,29.7,0.249
St.John's(NY),2024,33,20,13,0.606,16.29,9.38,11,9,13,5,5,6,2602,2374,1320,970,2139,0.453,237,696,0.341,425,584,0.728,476,1279,518,232,180,360,593,69.6,113.3,0.273,0.325,0.538,53.6,53.4,10.1,14.7,0.509,13,38.6,0.199
St.Thomas,2024,33,20,13,0.606,-0.62,-5.42,9,7,12,2,6,9,2402,2140,1325,859,1824,0.471,299,829,0.361,385,528,0.729,255,1027,451,204,71,303,520,63.9,113.4,0.289,0.454,0.579,50,52.5,9.6,6.7,0.553,12.7,24.9,0.211
Stanford,2024,32,14,18,0.438,7.65,7.77,8,12,10,6,3,8,2443,2447,1300,882,1886,0.468,286,774,0.37,393,540,0.728,248,1097,515,176,99,410,490,70.9,106.1,0.286,0.41,0.57,49,58.4,7.6,7.9,0.543,16.1,23.2,0.208
StephenF.Austin,2024,33,18,15,0.545,-0.93,-1.74,10,10,10,5,5,8,2463,2353,1345,849,1890,0.449,203,607,0.334,562,796,0.706,393,1184,422,295,93,530,697,71.5,102.4,0.421,0.321,0.543,52.2,49.7,12.3,8.3,0.503,18.9,34.4,0.297
Stetson,2024,34,22,12,0.647,-4.51,-3.86,11,5,14,2,6,10,2635,2475,1365,933,1998,0.467,310,837,0.37,459,599,0.766,329,1186,459,181,104,355,504,67.4,114.5,0.3,0.419,0.577,50.4,49.2,7.9,8,0.545,13.5,29.3,0.23
Stonehill,2024,31,4,27,0.129,-20.01,-6.01,2,14,4,8,0,19,1967,2360,1245,714,1788,0.399,253,834,0.303,286,415,0.689,257,1020,366,198,77,421,477,69.2,91.4,0.232,0.466,0.495,45.7,51.3,9.2,7.6,0.47,17.5,22.9,0.16
StonyBrook,2024,35,20,15,0.571,-2.44,-2.47,10,8,13,3,4,11,2573,2531,1430,921,2101,0.438,277,775,0.357,454,614,0.739,336,1280,424,211,113,359,532,67.5,106.6,0.292,0.369,0.538,49.6,46,8.7,9.1,0.504,13,26.9,0.216
Syracuse,2024,32,20,12,0.625,8.32,9.19,11,9,14,2,4,7,2442,2420,1280,883,1915,0.461,219,651,0.336,457,634,0.721,277,1064,442,290,129,364,493,72.1,105.9,0.331,0.34,0.551,46.9,50.1,12.6,10.5,0.518,14.1,24.7,0.239
TarletonState,2024,32,23,9,0.719,0.79,-0.55,16,4,11,3,10,5,2353,2199,1285,863,1901,0.454,180,553,0.325,447,590,0.758,348,1080,427,284,115,366,570,68.1,107.6,0.31,0.291,0.539,49.2,49.5,13,10.2,0.501,14.4,31.5,0.235
TCU,2024,33,21,12,0.636,15.67,7.67,9,9,12,4,6,5,2615,2351,1340,940,2022,0.465,217,610,0.356,518,710,0.73,412,1222,562,299,124,424,580,70.6,110.6,0.351,0.302,0.554,53.2,59.8,12.6,10.2,0.519,15.2,35.5,0.256
Temple,2024,35,16,19,0.457,-0.69,1.87,5,13,5,9,5,7,2482,2539,1430,851,2153,0.395,291,910,0.32,489,692,0.707,395,1267,385,259,99,343,592,67.9,102.3,0.321,0.423,0.5,48.2,45.2,10.7,8,0.463,12.1,28.3,0.227
Tennessee,2024,32,24,8,0.75,21.8,10.2,14,4,14,2,8,3,2543,2172,1280,878,1976,0.444,279,816,0.342,508,678,0.749,374,1242,537,254,149,329,558,70.6,112.5,0.343,0.413,0.553,52.4,61.2,11.2,13.6,0.515,12.5,32.4,0.257
TennesseeState,2024,33,18,15,0.545,-9.41,-7.41,10,8,11,3,5,10,2400,2343,1325,832,1881,0.442,217,667,0.325,519,687,0.755,327,1144,396,220,116,436,644,69.8,103.8,0.365,0.355,0.544,49.4,47.6,9.5,9.3,0.5,16.5,29,0.276
TennesseeTech,2024,31,10,21,0.323,-14.79,-6.04,5,13,7,8,3,13,2089,2289,1250,758,1692,0.448,202,608,0.332,371,522,0.711,191,957,379,156,90,369,421,67.6,98.9,0.309,0.359,0.538,46.2,50,7.4,7.6,0.508,16,18.8,0.219
Tennessee-Martin,2024,32,21,11,0.656,-5.34,-7.02,14,4,12,2,9,7,2609,2455,1290,908,2045,0.444,279,779,0.358,514,667,0.771,325,1319,415,199,89,366,455,74.5,108.6,0.326,0.381,0.552,51.9,45.7,8.3,6.9,0.512,13.4,27.1,0.251
Texas,2024,32,20,12,0.625,16.05,9.4,9,9,14,4,4,6,2449,2236,1285,890,1878,0.474,237,654,0.362,432,571,0.757,324,1106,503,230,144,364,559,68.2,111.8,0.304,0.348,0.57,50.7,56.5,10.5,11.7,0.537,14.5,30.5,0.23
TexasA&M,2024,34,20,14,0.588,13.06,9.09,9,9,10,5,6,6,2543,2408,1365,862,2158,0.399,234,823,0.284,585,825,0.709,587,1452,384,242,98,327,566,67.5,110.5,0.382,0.381,0.499,55.8,44.5,10.5,9,0.454,11.4,42,0.271
TexasA&M-Commerce,2024,33,13,20,0.394,-14.02,-4.68,6,12,8,7,4,12,2361,2462,1365,829,1996,0.415,288,922,0.312,415,592,0.701,316,1075,457,262,164,385,582,68.7,100.8,0.297,0.462,0.518,45.6,55.1,11.2,12.4,0.487,14.5,25.6,0.208
TexasA&M-CorpusChristi,2024,32,21,11,0.656,-3.66,-6.91,14,4,13,2,8,7,2417,2127,1295,868,1980,0.438,181,592,0.306,500,708,0.706,418,1284,476,281,94,390,673,71.2,105.7,0.358,0.299,0.522,54.5,54.8,12.3,8.7,0.484,14.4,34.3,0.253
TexasSouthern,2024,32,16,16,0.5,-9.07,-7.3,12,6,7,4,6,10,2245,2264,1285,794,1916,0.414,235,743,0.316,422,585,0.721,356,1132,375,221,122,405,592,69.5,100.5,0.305,0.388,0.512,49.4,47.2,9.9,10.5,0.476,15.6,30.4,0.22
TexasState,2024,35,17,18,0.486,-3.39,-0.42,7,11,9,4,5,11,2445,2452,1410,883,1988,0.444,159,488,0.326,520,747,0.696,388,1243,413,258,118,470,617,68.4,101.4,0.376,0.245,0.522,51.3,46.8,10.7,9.3,0.484,16.7,31.9,0.262
TexasTech,2024,33,23,10,0.697,15.98,9.74,11,7,15,2,4,6,2494,2288,1325,853,1881,0.453,282,773,0.365,506,650,0.778,326,1155,486,201,84,368,488,67.2,112,0.346,0.411,0.569,50.9,57,9,7,0.528,14.4,30.2,0.269
Texas-RioGrandeValley,2024,31,6,25,0.194,-13.34,-0.86,2,18,5,9,1,14,2181,2473,1250,754,1801,0.419,160,547,0.293,513,728,0.705,290,1037,400,251,92,434,563,73.5,95,0.404,0.304,0.508,45.9,53.1,10.9,7.3,0.463,16.8,24.9,0.285
TheCitadel,2024,32,11,21,0.344,-6.43,-2.81,3,15,7,7,2,13,2260,2289,1285,819,1782,0.46,197,600,0.328,425,602,0.706,300,1094,359,179,84,385,447,67,105,0.338,0.337,0.546,51.4,43.8,8.3,7.4,0.515,15.7,28.5,0.238
Toledo,2024,32,20,12,0.625,2,-1.87,14,4,12,3,8,5,2560,2436,1290,920,1926,0.478,207,550,0.376,513,680,0.754,318,1081,430,233,64,342,498,70.2,113,0.353,0.286,0.569,50.1,46.7,10.3,5.3,0.531,13.2,29.3,0.266
Towson,2024,34,20,14,0.588,0.4,-2.06,11,7,12,2,6,6,2296,2164,1375,818,1934,0.423,216,659,0.328,444,672,0.661,491,1337,381,210,142,413,565,63.2,105.6,0.347,0.341,0.509,56,46.6,9.7,12.3,0.479,15.5,39.9,0.23
Troy,2024,32,20,12,0.625,1.5,-2.91,13,5,15,2,5,9,2546,2261,1300,859,1950,0.441,276,787,0.351,552,753,0.733,427,1230,438,331,105,441,611,71.2,110,0.386,0.404,0.552,52.9,51,14.3,8.7,0.511,16,36,0.283
Tulane,2024,31,14,17,0.452,3.96,2.99,5,13,11,6,2,8,2540,2481,1260,856,1798,0.476,233,653,0.357,595,813,0.732,217,1030,440,243,136,347,530,73.4,109.8,0.452,0.363,0.581,45.7,51.4,10.5,11.7,0.541,13.7,20.6,0.331
Tulsa,2024,31,16,15,0.516,-0.91,-0.71,7,11,14,4,2,9,2325,2290,1255,779,1775,0.439,239,731,0.327,528,717,0.736,270,1091,392,243,105,403,543,71.4,103.8,0.404,0.412,0.549,48.1,50.3,10.9,9.1,0.506,16,24.8,0.297
UAB,2024,33,22,11,0.667,4.91,3.78,12,6,12,5,7,5,2561,2489,1340,886,1969,0.45,200,619,0.323,589,788,0.747,428,1260,444,216,152,384,524,68.7,111.3,0.4,0.314,0.546,52.4,50.1,9.4,12,0.501,14.1,35.7,0.299
UCDavis,2024,33,20,13,0.606,-0.93,-2.45,14,6,10,6,8,6,2351,2246,1330,799,1808,0.442,230,684,0.336,523,699,0.748,327,1102,411,257,116,444,633,68.1,103.8,0.387,0.378,0.549,49.7,51.4,11.4,9.7,0.506,17.2,29.6,0.289
UCIrvine,2024,33,24,9,0.727,7.3,-1.04,17,3,13,0,8,8,2564,2237,1330,937,1962,0.478,191,547,0.349,499,661,0.755,345,1247,518,212,112,387,606,69.7,110.7,0.337,0.279,0.563,53.5,55.3,9.2,8.4,0.526,14.5,31.6,0.254
UCRiverside,2024,34,16,18,0.471,-3.93,-0.9,10,10,10,5,4,12,2404,2448,1366,842,2122,0.397,287,904,0.317,433,604,0.717,420,1256,446,191,48,326,586,67.7,104,0.285,0.426,0.499,51,53,8.3,3.8,0.464,11.9,31.1,0.204
UCSanDiego,2024,32,21,11,0.656,2.81,-2.26,15,5,14,2,7,8,2455,2213,1295,856,1877,0.456,283,799,0.354,460,606,0.759,305,1113,415,201,89,309,515,67,113.2,0.323,0.426,0.567,50.4,48.5,9.3,7.5,0.531,12.5,27.9,0.245
UCSantaBarbara,2024,31,16,15,0.516,-2.8,-2.63,9,11,9,7,6,7,2337,2280,1250,826,1684,0.49,187,519,0.36,498,677,0.736,252,1081,417,152,99,405,511,69,108.4,0.402,0.308,0.583,52.1,50.5,7.1,8,0.546,16.8,26.4,0.296
UCF,2024,32,17,15,0.531,12.8,8.74,7,11,11,7,3,7,2289,2159,1285,789,1881,0.419,216,673,0.321,495,700,0.707,394,1205,369,279,164,400,577,69.2,103,0.372,0.358,0.517,52.1,46.8,12.6,15.4,0.477,15.3,32.9,0.263
UCLA,2024,33,16,17,0.485,7.73,8.08,10,10,9,7,5,6,2177,2160,1320,762,1820,0.419,183,552,0.332,470,644,0.73,339,1115,368,192,109,358,609,64.8,101.9,0.354,0.303,0.512,50.9,48.3,9,10.9,0.469,14.4,30.4,0.258
UNCAsheville,2024,34,22,12,0.647,-1.68,-2.74,12,4,12,2,5,7,2682,2485,1375,906,1950,0.465,277,759,0.365,593,799,0.742,319,1182,534,203,146,403,581,70.3,111,0.41,0.389,0.576,49.5,58.9,8.4,11.2,0.536,14.7,28.1,0.304
UNCGreensboro,2024,32,21,11,0.656,-0.1,-2.73,12,6,11,3,7,7,2422,2233,1290,865,1878,0.461,322,812,0.397,370,507,0.73,319,1133,473,223,81,349,549,66.9,112.2,0.27,0.432,0.572,51.1,54.7,10.3,7.9,0.546,14.1,29.8,0.197
UNCWilmington,2024,31,21,10,0.677,1.44,-2.66,12,6,10,2,10,6,2461,2202,1260,863,1871,0.461,258,741,0.348,477,628,0.76,330,1066,379,202,75,266,527,66.6,117.3,0.336,0.396,0.567,49.8,43.9,9.6,6.7,0.53,10.9,30.4,0.255
UTArlington,2024,34,20,14,0.588,2.4,0.72,13,7,12,3,5,10,2614,2492,1365,880,1981,0.444,305,861,0.354,549,747,0.735,404,1275,536,241,130,526,706,71.9,106.5,0.377,0.435,0.56,52.7,60.9,9.8,10.2,0.521,18.4,34,0.277
Utah,2024,33,19,14,0.576,14.99,9.57,9,11,14,2,2,9,2576,2397,1335,958,2058,0.466,294,822,0.358,366,564,0.649,340,1287,568,198,136,384,530,70.7,109.2,0.274,0.399,0.554,51.8,59.3,8.4,10.2,0.537,14.2,28.3,0.178
UtahState,2024,33,27,6,0.818,12.17,4.75,14,4,14,1,8,4,2633,2319,1340,943,1912,0.493,209,632,0.331,538,752,0.715,320,1198,541,223,135,368,561,69.1,113.7,0.393,0.331,0.58,52.9,57.4,9.6,11,0.548,14,29.3,0.281
UtahTech,2024,31,11,20,0.355,-8.08,-1.18,7,13,6,7,5,13,2194,2389,1250,771,1724,0.447,201,596,0.337,451,699,0.645,307,1070,401,205,133,495,647,71.9,97.7,0.405,0.346,0.534,48.7,52,9.1,11.6,0.506,19.4,28.4,0.262
UtahValley,2024,32,16,16,0.5,-1.34,-0.04,11,9,10,4,5,10,2199,2195,1290,801,1851,0.433,154,540,0.285,443,655,0.676,335,1179,477,222,143,395,578,69.2,98.6,0.354,0.292,0.509,50.7,59.6,10,11.9,0.474,15.4,28.5,0.239
UTEP,2024,34,18,16,0.529,-1.28,-1.09,7,9,13,5,2,9,2470,2348,1370,859,1922,0.447,194,609,0.319,558,809,0.69,361,1124,439,389,97,500,677,71.4,101,0.421,0.317,0.535,49,51.1,15.9,8.4,0.497,17.8,30.2,0.29
UTSA,2024,32,11,21,0.344,-4.94,-0.39,5,13,7,9,4,11,2483,2591,1300,837,2040,0.41,311,922,0.337,498,701,0.71,419,1289,444,161,133,360,573,71.3,107.2,0.344,0.452,0.523,51.4,53,7,10.5,0.487,13.2,32.4,0.244
Valparaiso,2024,32,7,25,0.219,-8.16,1.26,3,17,6,11,1,13,2163,2416,1280,796,1961,0.406,234,721,0.325,337,471,0.715,320,1064,384,197,113,353,521,69.3,97.6,0.24,0.368,0.495,46.3,48.2,8.9,9.3,0.466,13.9,26,0.172
Vanderbilt,2024,32,9,23,0.281,0.46,8.43,4,14,8,10,1,9,2173,2428,1285,748,1877,0.399,209,738,0.283,468,660,0.709,344,1102,300,196,92,333,489,67.8,99.7,0.352,0.393,0.496,48.1,40.1,9,8.1,0.454,13.2,28.2,0.249
Vermont,2024,34,28,6,0.824,2.92,-3.89,15,1,16,1,10,4,2459,2141,1365,880,1928,0.456,295,858,0.344,404,561,0.72,262,1186,466,198,133,310,469,65.6,109.9,0.291,0.445,0.56,50.9,53,8.8,10.7,0.533,12.4,23.2,0.21
Villanova,2024,33,18,15,0.545,14.79,9.76,10,10,10,5,4,8,2327,2161,1350,805,1894,0.425,309,910,0.34,408,501,0.814,283,1152,426,189,81,314,507,64.2,107.4,0.265,0.48,0.546,50.6,52.9,8.7,7.9,0.507,12.8,25.2,0.215
Virginia,2024,33,23,10,0.697,11,7,13,7,15,2,5,6,2098,1966,1335,794,1831,0.434,217,598,0.363,293,460,0.637,291,1083,503,235,168,270,445,61.2,102.7,0.251,0.327,0.512,48.8,63.4,11.5,15.9,0.493,11.6,26,0.16
VirginiaCommonwealth,2024,34,22,12,0.647,9,3.85,11,7,13,6,5,4,2452,2277,1370,823,1845,0.446,291,805,0.361,515,662,0.778,312,1202,469,218,144,411,562,66.2,108.1,0.359,0.436,0.568,52.1,57,9.6,12.2,0.525,16,28.4,0.279
VMI,2024,32,4,28,0.125,-20.43,-2.23,1,17,4,10,0,15,2204,2644,1285,818,1935,0.423,210,673,0.312,358,517,0.692,299,1170,335,179,82,507,539,74.6,92,0.267,0.348,0.505,48.3,41,7.5,6.5,0.477,18.9,25.2,0.185
VirginiaTech,2024,32,18,14,0.563,11.78,7.85,10,10,14,2,2,9,2400,2274,1280,834,1787,0.467,264,753,0.351,468,592,0.791,248,1026,483,169,81,353,505,67.9,110.5,0.331,0.421,0.58,50.2,57.9,7.8,6.7,0.541,14.6,25.2,0.262
Wagner,2024,31,16,15,0.516,-10.86,-9.51,7,9,7,5,9,10,1970,1925,1255,706,1800,0.392,223,692,0.322,335,472,0.71,358,1131,397,185,69,310,478,62.9,99.8,0.262,0.384,0.487,51.1,56.2,9.4,7,0.454,13.3,30.7,0.186
WakeForest,2024,33,20,13,0.606,15.17,7.45,11,9,16,1,2,9,2580,2325,1330,915,1920,0.477,269,724,0.372,481,605,0.795,275,1122,412,195,136,358,513,68.7,113,0.315,0.377,0.584,51.1,45,8.5,10.8,0.547,14,26.3,0.251
Washington,2024,32,17,15,0.531,12.08,8.61,9,11,11,6,5,6,2579,2468,1305,931,1980,0.47,258,728,0.354,459,636,0.722,301,1151,482,184,118,374,585,72,109.8,0.321,0.368,0.565,49.9,51.8,7.8,9,0.535,14.1,27.1,0.232
WashingtonState,2024,33,24,9,0.727,14.28,6.86,14,6,15,2,6,4,2452,2207,1330,905,1940,0.466,211,621,0.34,431,615,0.701,370,1244,414,173,160,357,553,66.7,110.6,0.317,0.32,0.549,54.4,45.7,7.8,12.5,0.521,13.8,32.9,0.222
WeberState,2024,32,20,12,0.625,-0.01,-3.67,11,7,12,2,7,7,2414,2161,1290,843,1797,0.469,251,721,0.348,477,637,0.749,248,1025,390,221,53,316,495,66.8,112,0.354,0.401,0.575,49.9,46.3,10.3,4.8,0.539,13.1,23.8,0.265
WestVirginia,2024,32,9,23,0.281,4.25,11.28,4,14,9,9,0,9,2234,2459,1290,767,1784,0.43,233,667,0.349,467,662,0.705,293,1080,417,139,114,405,487,68.7,100.8,0.371,0.374,0.532,48.5,54.4,6.3,10.2,0.495,16.2,26.7,0.262
WesternCarolina,2024,32,22,10,0.688,2.14,-3.17,11,7,12,3,10,6,2459,2198,1295,902,1963,0.46,261,713,0.366,394,553,0.712,335,1269,367,141,103,330,536,68.6,110.7,0.282,0.363,0.552,53.4,40.7,6.3,7.8,0.526,12.9,29.5,0.201
WesternIllinois,2024,33,21,12,0.636,-8.46,-7.08,13,5,10,5,10,6,2272,2167,1330,826,1936,0.427,195,611,0.319,425,691,0.615,482,1397,421,173,185,436,470,66.9,102.1,0.357,0.316,0.502,55.5,51,7.8,13.3,0.477,16.1,38.3,0.22
WesternKentucky,2024,33,22,11,0.667,1.44,-3.4,8,8,12,2,6,7,2659,2444,1321,968,2069,0.468,225,662,0.34,498,693,0.719,347,1314,437,255,106,452,610,76,106,0.335,0.32,0.554,52.1,45.1,10.2,8.6,0.522,15.9,28.8,0.241
WesternMichigan,2024,32,12,20,0.375,-9.06,-3.54,9,9,7,7,3,12,2281,2396,1295,828,1912,0.433,253,747,0.339,372,595,0.625,402,1212,418,169,87,428,550,68.6,102.7,0.311,0.391,0.52,51.8,50.5,7.6,7.3,0.499,16.3,33.8,0.195
WichitaState,2024,34,15,19,0.441,2.33,3.51,5,13,10,5,2,10,2475,2484,1370,935,2091,0.447,220,660,0.333,385,552,0.697,396,1339,413,213,142,419,522,69.5,104,0.264,0.316,0.526,52.6,44.2,9,10.8,0.5,15.1,32.2,0.184
William&Mary,2024,33,10,23,0.303,-11.13,-5.35,4,14,7,7,2,13,2305,2380,1325,787,1910,0.412,296,916,0.323,435,620,0.702,341,1161,407,156,56,357,560,66.7,104.4,0.325,0.48,0.523,49.3,51.7,7.1,4.7,0.49,13.9,28.1,0.228
Winthrop,2024,32,17,15,0.531,-1.79,-3.23,8,8,11,5,6,9,2475,2287,1310,818,1763,0.464,238,697,0.341,601,856,0.702,341,1134,380,201,89,415,570,68.3,110.7,0.486,0.395,0.57,51,46.5,9,8.3,0.531,16.1,31.8,0.341
Wisconsin,2024,34,22,12,0.647,16.89,11.45,11,9,14,3,3,9,2540,2355,1375,903,1952,0.463,241,693,0.348,493,653,0.755,341,1158,428,211,55,332,555,65.7,112.5,0.335,0.355,0.561,52.7,47.4,9.3,4.5,0.524,12.8,30.3,0.253
Wofford,2024,32,17,15,0.531,-3.71,-1.43,10,8,11,2,6,9,2384,2362,1300,874,1905,0.459,306,852,0.359,330,532,0.62,337,1190,494,142,86,373,522,67.5,108.7,0.279,0.447,0.552,53,56.5,6.5,8,0.539,14.7,30.2,0.173
WrightState,2024,32,18,14,0.563,0.01,-3.39,13,7,9,7,7,6,2767,2599,1295,1033,1948,0.53,218,569,0.383,483,638,0.757,290,1111,529,200,90,379,499,72.6,117.7,0.328,0.292,0.615,51.6,51.2,8.5,7.2,0.586,14.4,28.6,0.248
Wyoming,2024,32,15,17,0.469,0.97,5,8,10,9,5,3,10,2331,2383,1290,791,1755,0.451,241,648,0.372,508,686,0.741,307,1103,374,165,80,408,500,67.9,106.4,0.391,0.369,0.56,50.8,47.3,7.5,7,0.519,16.4,29.1,0.289
Xavier,2024,33,16,17,0.485,12.25,10.95,9,11,11,7,3,8,2503,2460,1320,895,2056,0.435,224,658,0.34,489,657,0.744,393,1257,536,231,110,381,556,71.4,106.2,0.32,0.32,0.528,51.5,59.9,9.8,8.4,0.49,13.9,32.1,0.238
Yale,2024,30,21,9,0.7,5.05,-0.52,11,3,9,2,9,6,2268,2004,1220,850,1799,0.472,218,626,0.348,350,491,0.713,299,1109,454,181,96,285,451,66.1,112.5,0.273,0.348,0.558,53.4,53.4,9,9.6,0.533,12.3,29.4,0.195
YoungstownState,2024,32,22,10,0.688,1.21,-4.86,14,6,14,3,8,7,2598,2269,1290,931,2064,0.451,282,872,0.323,454,589,0.771,409,1279,490,198,156,353,520,70.8,113.8,0.285,0.422,0.554,53.8,52.6,8.7,12.5,0.519,13.1,35,0.22
